id_usuari,id_llibre,score,genere_persona,any_naixement,pref_adaptacio_peli,pref_best_seller,pref_tipus_lectura,pref_sagues,comprat,Ciència Ficció,Històrica,Ficció,Comèdia,Romàntic,Fantasia,Ciència,Creixement personal,Policiaca,Juvenil,pagines_max,Idioma
21,73,4.45,Dona,2008,Si,No,Indiferent,Si,Si,0,0,0,0,1,0,0,0,0,1,250,"{'Català', 'Espanyol', 'Francès'}"
21,75,4.65,Dona,2008,Si,No,Indiferent,Si,Si,0,0,0,0,1,0,0,0,0,1,250,"{'Català', 'Espanyol', 'Francès'}"
22,76,4.75,Dona,1978,Si,Si,Fluida,No,Si,1,0,0,0,1,0,0,0,0,0,250,"{'Català', 'Anglès'}"
23,79,4.7,Home,2003,Si,No,Indiferent,No,Si,1,0,0,0,0,1,0,1,0,0,350,{'Català'}
23,23,4.1,Home,2003,Si,No,Indiferent,No,Si,1,0,0,0,0,1,0,1,0,0,350,{'Català'}
23,77,4.8,Home,2003,Si,No,Indiferent,No,Si,1,0,0,0,0,1,0,1,0,0,350,{'Català'}
24,81,4.8,Dona,1971,No,No,Densa,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,{'Català'}
24,25,4.7,Dona,1971,No,No,Densa,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,{'Català'}
25,9,4.5,Dona,1970,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Anglès'}
25,44,4.5,Dona,1970,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Anglès'}
25,82,4.8,Dona,1970,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Anglès'}
25,17,4.65,Dona,1970,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Anglès'}
26,80,4.3,Dona,1973,Si,No,Fluida,Si,Si,1,0,0,0,1,0,0,0,0,0,150,{'Català'}
26,3,4.85,Dona,1973,Si,No,Fluida,Si,Si,1,0,0,0,1,0,0,0,0,0,150,{'Català'}
27,19,4.85,Dona,1966,Si,No,Fluida,Indiferent,Si,0,1,1,1,1,1,0,0,1,0,250,"{'Català', 'Espanyol'}"
27,0,4.75,Dona,1966,Si,No,Fluida,Indiferent,Si,0,1,1,1,1,1,0,0,1,0,250,"{'Català', 'Espanyol'}"
28,55,4.7,Dona,1964,Si,No,Fluida,No,Si,0,0,1,1,0,0,0,0,0,0,100000000,{'Espanyol'}
28,63,4.7,Dona,1964,Si,No,Fluida,No,Si,0,0,1,1,0,0,0,0,0,0,100000000,{'Espanyol'}
28,54,4.4,Dona,1964,Si,No,Fluida,No,Si,0,0,1,1,0,0,0,0,0,0,100000000,{'Espanyol'}
29,36,4.65,Dona,1964,Si,No,Fluida,Indiferent,Si,0,0,0,0,1,0,0,0,1,0,350,{'Català'}
29,65,4.5,Dona,1964,Si,No,Fluida,Indiferent,Si,0,0,0,0,1,0,0,0,1,0,350,{'Català'}
29,64,4.6,Dona,1964,Si,No,Fluida,Indiferent,Si,0,0,0,0,1,0,0,0,1,0,350,{'Català'}
30,103,4.9,Dona,1980,No,No,Indiferent,Indiferent,Si,0,0,1,1,1,0,0,0,1,0,350,{'Anglès'}
30,76,4.75,Dona,1980,No,No,Indiferent,Indiferent,Si,0,0,1,1,1,0,0,0,1,0,350,{'Anglès'}
30,90,4.6,Dona,1980,No,No,Indiferent,Indiferent,Si,0,0,1,1,1,0,0,0,1,0,350,{'Anglès'}
31,9,4.5,Dona,1964,Si,No,Indiferent,Indiferent,Si,1,0,0,0,0,0,0,0,1,0,100000000,{'Anglès'}
31,32,4.75,Dona,1964,Si,No,Indiferent,Indiferent,Si,1,0,0,0,0,0,0,0,1,0,100000000,{'Anglès'}
32,84,4.7,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,69,4.6,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,102,4.7,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,100,4.65,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,32,4.75,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,101,4.55,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
32,78,4.65,Dona,1964,Si,No,Fluida,Indiferent,Si,1,0,1,0,0,1,0,0,1,0,100000000,"{'Català', 'Espanyol'}"
33,76,4.75,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
33,38,4.6,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
33,99,4.0,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
33,32,4.75,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
33,91,4.5,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
33,26,4.55,Dona,1966,No,No,Fluida,Indiferent,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Català', 'Anglès'}"
34,69,4.6,Dona,1969,Si,No,Fluida,Si,Si,1,0,1,0,0,1,0,0,1,0,150,"{'Anglès', 'Espanyol', 'Francès'}"
34,83,4.6,Dona,1969,Si,No,Fluida,Si,Si,1,0,1,0,0,1,0,0,1,0,150,"{'Anglès', 'Espanyol', 'Francès'}"
35,15,4.65,Dona,1973,Si,No,Densa,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,350,"{'Català', 'Francès'}"
35,32,4.75,Dona,1973,Si,No,Densa,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,350,"{'Català', 'Francès'}"
36,84,4.7,Dona,1974,No,No,Indiferent,Si,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Català', 'Anglès', 'Francès'}"
36,85,4.6,Dona,1974,No,No,Indiferent,Si,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Català', 'Anglès', 'Francès'}"
36,60,4.5,Dona,1974,No,No,Indiferent,Si,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Català', 'Anglès', 'Francès'}"
37,86,4.75,Dona,1971,Si,No,Densa,Indiferent,Si,0,1,0,0,0,0,0,0,0,0,350,{'Català'}
38,16,4.85,Dona,1969,Si,No,Indiferent,No,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Anglès', 'Espanyol'}"
38,69,4.6,Dona,1969,Si,No,Indiferent,No,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Anglès', 'Espanyol'}"
38,22,4.8,Dona,1969,Si,No,Indiferent,No,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Anglès', 'Espanyol'}"
38,17,4.65,Dona,1969,Si,No,Indiferent,No,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Anglès', 'Espanyol'}"
38,9,4.5,Dona,1969,Si,No,Indiferent,No,Si,0,1,0,0,0,0,0,0,1,0,100000000,"{'Anglès', 'Espanyol'}"
39,3,4.85,Dona,1971,Si,No,Fluida,No,Si,0,0,0,0,0,1,0,0,0,0,150,"{'Català', 'Anglès', 'Espanyol'}"
40,26,4.55,Dona,1973,No,No,Fluida,No,Si,0,0,0,1,0,0,0,0,1,0,350,{'Català'}
41,87,4.75,Dona,1976,Si,Si,Fluida,No,Si,0,0,1,0,0,0,0,0,1,0,350,"{'Català', 'Espanyol'}"
41,3,4.85,Dona,1976,Si,Si,Fluida,No,Si,0,0,1,0,0,0,0,0,1,0,350,"{'Català', 'Espanyol'}"
41,42,4.75,Dona,1976,Si,Si,Fluida,No,Si,0,0,1,0,0,0,0,0,1,0,350,"{'Català', 'Espanyol'}"
41,26,4.55,Dona,1976,Si,Si,Fluida,No,Si,0,0,1,0,0,0,0,0,1,0,350,"{'Català', 'Espanyol'}"
42,88,4.65,Dona,1978,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Espanyol', 'Francès'}"
42,89,4.5,Dona,1978,Si,No,Densa,No,Si,0,1,1,0,0,0,0,0,0,0,100000000,"{'Espanyol', 'Francès'}"
43,9,4.5,Home,2003,Si,No,Fluida,No,Si,0,1,0,0,0,0,0,0,0,0,150,"{'Català', 'Anglès'}"
44,98,4.65,Dona,1963,Si,No,Indiferent,Indiferent,Si,0,1,1,0,0,0,0,0,1,0,100000000,"{'Espanyol', 'Francès'}"
44,90,4.6,Dona,1963,Si,No,Indiferent,Indiferent,Si,0,1,1,0,0,0,0,0,1,0,100000000,"{'Espanyol', 'Francès'}"
44,91,4.5,Dona,1963,Si,No,Indiferent,Indiferent,Si,0,1,1,0,0,0,0,0,1,0,100000000,"{'Espanyol', 'Francès'}"
44,78,4.65,Dona,1963,Si,No,Indiferent,Indiferent,Si,0,1,1,0,0,0,0,0,1,0,100000000,"{'Espanyol', 'Francès'}"
44,92,4.35,Dona,1963,Si,No,Indiferent,Indiferent,Si,0,1,1,0,0,0,0,0,1,0,100000000,"{'Espanyol', 'Francès'}"
45,9,4.5,Dona,1971,Si,No,Fluida,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Espanyol'}
45,93,4.55,Dona,1971,Si,No,Fluida,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Espanyol'}
45,40,4.75,Dona,1971,Si,No,Fluida,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Espanyol'}
45,49,5.0,Dona,1971,Si,No,Fluida,No,Si,0,1,1,0,0,0,0,0,0,0,250,{'Espanyol'}
46,22,4.8,Dona,2002,Si,No,Indiferent,Indiferent,Si,0,0,0,0,0,0,0,0,1,0,350,{'Català'}
46,104,4.5,Dona,2002,Si,No,Indiferent,Indiferent,Si,0,0,0,0,0,0,0,0,1,0,350,{'Català'}
46,106,4.6,Dona,2002,Si,No,Indiferent,Indiferent,Si,0,0,0,0,0,0,0,0,1,0,350,{'Català'}
46,105,4.65,Dona,2002,Si,No,Indiferent,Indiferent,Si,0,0,0,0,0,0,0,0,1,0,350,{'Català'}
47,72,4.75,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
47,98,4.65,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
47,1,4.85,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
47,25,4.7,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
47,40,4.75,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
47,95,4.55,Dona,1967,No,No,Fluida,No,Si,0,0,1,1,0,0,0,0,1,0,250,"{'Espanyol', 'Francès'}"
48,97,4.5,Dona,2003,No,No,Indiferent,Si,Si,0,0,1,0,1,0,0,0,0,0,100000000,{'Anglès'}
48,96,4.5,Dona,2003,No,No,Indiferent,Si,Si,0,0,1,0,1,0,0,0,0,0,100000000,{'Anglès'}
49,55,4.7,Dona,2003,Si,No,Fluida,Si,Si,0,0,1,0,1,0,0,0,0,0,150,"{'Anglès', 'Espanyol'}"
49,25,4.7,Dona,2003,Si,No,Fluida,Si,Si,0,0,1,0,1,0,0,0,0,0,150,"{'Anglès', 'Espanyol'}"
50,66,4.65,Dona,2003,Si,No,Densa,Indiferent,Si,1,1,0,1,1,0,0,0,0,0,350,"{'Anglès', 'Espanyol'}"
50,43,4.45,Dona,2003,Si,No,Densa,Indiferent,Si,1,1,0,1,1,0,0,0,0,0,350,"{'Anglès', 'Espanyol'}"
51,94,4.5,Home,1998,No,No,Fluida,Indiferent,Si,0,0,0,0,0,0,0,1,0,0,150,"{'Català', 'Alemany'}"
51,38,4.6,Home,1998,No,No,Fluida,Indiferent,Si,0,0,0,0,0,0,0,1,0,0,150,"{'Català', 'Alemany'}"
51,39,4.75,Home,1998,No,No,Fluida,Indiferent,Si,0,0,0,0,0,0,0,1,0,0,150,"{'Català', 'Alemany'}"
52,39,3.0,Dona,1983,Si,Indiferent,Indiferent,No,No,0,0,0,0,0,0,0,1,0,0,10000,"{'Català', 'Espanyol'}"
52,57,4.0,Dona,1983,Si,Indiferent,Indiferent,No,No,0,0,0,0,0,0,0,1,0,0,10000,"{'Català', 'Espanyol'}"
52,38,4.0,Dona,1983,Si,Indiferent,Indiferent,No,Si,0,0,0,0,0,0,0,1,0,0,10000,"{'Català', 'Espanyol'}"
53,39,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,38,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,94,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,77,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,53,4.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,103,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,57,4.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,47,3.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,No,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,6,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
54,77,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,1,0,0,0,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
54,103,1.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,No,1,1,0,0,0,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
54,39,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,1,0,0,0,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
54,53,4.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,0,1,0,1,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
54,94,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,0,1,0,1,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
54,103,1.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,No,0,0,1,0,1,0,0,1,0,0,500,"{'Català', 'Anglès', 'Espanyol'}"
55,11,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
55,76,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
55,78,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
55,98,5.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
55,90,3.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,No,1,0,1,1,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,71,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,69,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,70,4.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,43,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,88,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
56,73,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,No,0,1,0,0,1,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
57,28,4.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
57,105,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
57,106,3.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
57,78,2.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
57,29,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
57,100,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Català', 'Anglès', 'Espanyol'}"
58,23,3.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Català', 'Espanyol'}"
58,100,4.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Català', 'Espanyol'}"
58,6,2.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Català', 'Espanyol'}"
59,100,3.0,Home,1961,Si,Si,Indiferent,Indiferent,Si,0,0,1,1,0,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
59,99,5.0,Home,1961,Si,Si,Indiferent,Indiferent,Si,0,0,1,1,0,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
59,55,4.0,Home,1961,Si,Si,Indiferent,Indiferent,Si,0,0,1,1,0,0,0,0,0,0,1000,"{'Català', 'Espanyol'}"
60,99,5.0,Home,1981,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,0,0,1000,"{'Català', 'Espanyol'}"
60,55,3.0,Home,1981,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,0,0,1000,"{'Català', 'Espanyol'}"
